Territory,Topic,Category,Location,Impact,Reference,Units,Value
Afghanistan,Water Pollution,"1,4-dichlorobenzene",Freshwaster,Health,"Water Pollution_1,4-dichlorobenzene_Freshwaster_Health",$/kg,0.59
Afghanistan,Water Pollution,"1,4-dichlorobenzene",Seawater,Health,"Water Pollution_1,4-dichlorobenzene_Seawater_Health",$/kg,0.01
Afghanistan,Water Pollution,"1,4-dichlorobenzene",Unspecified,Health,"Water Pollution_1,4-dichlorobenzene_Unspecified_Health",$/kg,0.59
Afghanistan,Water Pollution,"2-(2,4-dichlorophenoxy)acetic acid",Freshwaster,Health,"Water Pollution_2-(2,4-dichlorophenoxy)acetic acid_Freshwaster_Health",$/kg,5.14
Afghanistan,Water Pollution,"2-(2,4-dichlorophenoxy)acetic acid",Seawater,Health,"Water Pollution_2-(2,4-dichlorophenoxy)acetic acid_Seawater_Health",$/kg,0.00
Afghanistan,Water Pollution,"2-(2,4-dichlorophenoxy)acetic acid",Unspecified,Health,"Water Pollution_2-(2,4-dichlorophenoxy)acetic acid_Unspecified_Health",$/kg,5.14
Afghanistan,Water Pollution,"2,4,6-trichlorophenol",Freshwaster,Health,"Water Pollution_2,4,6-trichlorophenol_Freshwaster_Health",$/kg,1.52
Afghanistan,Water Pollution,"2,4,6-trichlorophenol",Seawater,Health,"Water Pollution_2,4,6-trichlorophenol_Seawater_Health",$/kg,0.00
Afghanistan,Water Pollution,"2,4,6-trichlorophenol",Unspecified,Health,"Water Pollution_2,4,6-trichlorophenol_Unspecified_Health",$/kg,1.52
Afghanistan,Water Pollution,2-CHLOROPHENOL,Freshwaster,Health,Water Pollution_2-CHLOROPHENOL_Freshwaster_Health,$/kg,2.59
Afghanistan,Water Pollution,2-CHLOROPHENOL,Seawater,Health,Water Pollution_2-CHLOROPHENOL_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,2-CHLOROPHENOL,Unspecified,Health,Water Pollution_2-CHLOROPHENOL_Unspecified_Health,$/kg,2.59
Afghanistan,Water Pollution,3-Methylcholanthrene,Freshwaster,Health,Water Pollution_3-Methylcholanthrene_Freshwaster_Health,$/kg,38.30
Afghanistan,Water Pollution,3-Methylcholanthrene,Seawater,Health,Water Pollution_3-Methylcholanthrene_Seawater_Health,$/kg,8.36
Afghanistan,Water Pollution,3-Methylcholanthrene,Unspecified,Health,Water Pollution_3-Methylcholanthrene_Unspecified_Health,$/kg,38.30
Afghanistan,Water Pollution,4-CHLOROANILINE,Freshwaster,Health,Water Pollution_4-CHLOROANILINE_Freshwaster_Health,$/kg,0.53
Afghanistan,Water Pollution,4-CHLOROANILINE,Seawater,Health,Water Pollution_4-CHLOROANILINE_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,4-CHLOROANILINE,Unspecified,Health,Water Pollution_4-CHLOROANILINE_Unspecified_Health,$/kg,0.53
Afghanistan,Water Pollution,"7,12-Dimethylbenz(a)anthracene",Freshwaster,Health,"Water Pollution_7,12-Dimethylbenz(a)anthracene_Freshwaster_Health",$/kg,"1,534.86"
Afghanistan,Water Pollution,"7,12-Dimethylbenz(a)anthracene",Seawater,Health,"Water Pollution_7,12-Dimethylbenz(a)anthracene_Seawater_Health",$/kg,109.55
Afghanistan,Water Pollution,"7,12-Dimethylbenz(a)anthracene",Unspecified,Health,"Water Pollution_7,12-Dimethylbenz(a)anthracene_Unspecified_Health",$/kg,"1,534.86"
Afghanistan,Water Pollution,Acenapthene,Freshwaster,Health,Water Pollution_Acenapthene_Freshwaster_Health,$/kg,9.10
Afghanistan,Water Pollution,Acenapthene,Seawater,Health,Water Pollution_Acenapthene_Seawater_Health,$/kg,0.09
Afghanistan,Water Pollution,Acenapthene,Unspecified,Health,Water Pollution_Acenapthene_Unspecified_Health,$/kg,9.10
Afghanistan,Water Pollution,ACEPHATE,Freshwaster,Health,Water Pollution_ACEPHATE_Freshwaster_Health,$/kg,956.64
Afghanistan,Water Pollution,ACEPHATE,Seawater,Health,Water Pollution_ACEPHATE_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,ACEPHATE,Unspecified,Health,Water Pollution_ACEPHATE_Unspecified_Health,$/kg,956.64
Afghanistan,Water Pollution,"ACETAMIDE,",Freshwaster,Health,"Water Pollution_ACETAMIDE,_Freshwaster_Health",$/kg,0.73
Afghanistan,Water Pollution,"ACETAMIDE,",Seawater,Health,"Water Pollution_ACETAMIDE,_Seawater_Health",$/kg,0.00
Afghanistan,Water Pollution,"ACETAMIDE,",Unspecified,Health,"Water Pollution_ACETAMIDE,_Unspecified_Health",$/kg,0.73
Afghanistan,Water Pollution,Albuterol,Freshwaster,Health,Water Pollution_Albuterol_Freshwaster_Health,$/kg,5.26
Afghanistan,Water Pollution,Albuterol,Seawater,Health,Water Pollution_Albuterol_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Albuterol,Unspecified,Health,Water Pollution_Albuterol_Unspecified_Health,$/kg,5.26
Afghanistan,Water Pollution,Aldicarb,Freshwaster,Health,Water Pollution_Aldicarb_Freshwaster_Health,$/kg,139.98
Afghanistan,Water Pollution,Aldicarb,Seawater,Health,Water Pollution_Aldicarb_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Aldicarb,Unspecified,Health,Water Pollution_Aldicarb_Unspecified_Health,$/kg,139.98
Afghanistan,Water Pollution,aniline,Freshwaster,Health,Water Pollution_aniline_Freshwaster_Health,$/kg,7.13
Afghanistan,Water Pollution,aniline,Seawater,Health,Water Pollution_aniline_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,aniline,Unspecified,Health,Water Pollution_aniline_Unspecified_Health,$/kg,7.13
Afghanistan,Water Pollution,anthracene,Freshwaster,Health,Water Pollution_anthracene_Freshwaster_Health,$/kg,127.97
Afghanistan,Water Pollution,anthracene,Seawater,Health,Water Pollution_anthracene_Seawater_Health,$/kg,8.30
Afghanistan,Water Pollution,anthracene,Unspecified,Health,Water Pollution_anthracene_Unspecified_Health,$/kg,127.97
Afghanistan,Water Pollution,ANTIPYRINE,Freshwaster,Health,Water Pollution_ANTIPYRINE_Freshwaster_Health,$/kg,1.03
Afghanistan,Water Pollution,ANTIPYRINE,Seawater,Health,Water Pollution_ANTIPYRINE_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,ANTIPYRINE,Unspecified,Health,Water Pollution_ANTIPYRINE_Unspecified_Health,$/kg,1.03
Afghanistan,Water Pollution,Atrazine,Freshwaster,Health,Water Pollution_Atrazine_Freshwaster_Health,$/kg,21.90
Afghanistan,Water Pollution,Atrazine,Seawater,Health,Water Pollution_Atrazine_Seawater_Health,$/kg,0.00
Afghanistan,Water Pollution,Atrazine,Unspecified,Health,Water Pollution_Atrazine_Unspecified_Health,$/kg,21.90
Afghanistan,Water Pollution,benzene,Freshwaster,Health,Water Pollution_benzene_Freshwaster_Health,$/kg,1.38
Afghanistan,Water Pollution,benzene,Seawater,Health,Water Pollution_benzene_Seawater_Health,$/kg,0.03
Afghanistan,Water Pollution,benzene,Unspecified,Health,Water Pollution_benzene_Unspecified_Health,$/kg,1.38
Afghanistan,Water Pollution,Benzidine,Freshwaster,Health,Water Pollution_Benzidine_Freshwaster_Health,$/kg,"55,747.20"
